"COUNTY","ZIPCODE","POPULATION","SERVICE_CONNECTIONS","VIOLATION_TYPE_NAME","ANALYTE_NAME","RESULT","MCL","ENF_ACTION_TYPE_ISSUED","year_violation","daystaken"
"KERN",93312,32,16,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"KERN",93312,32,16,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"KERN",93560,35,15,"MCL,  AVERAGE","ARSENIC",".01100000 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2012",90
"KERN",93560,35,15,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",89
"KERN",93560,35,15,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2013",91
"KERN",93560,35,15,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2014",91
"KERN",93560,35,15,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"KERN",93560,35,15,"MCL,  AVERAGE","ARSENIC","0.018 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"KERN",93560,35,15,"MCL,  AVERAGE","ARSENIC","0.018 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"KERN",93307,35,14,"MCL, SINGLE SAMPLE","NITRATE","56.0 MG/L","45 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"KERN",93307,35,14,"MCL, SINGLE SAMPLE","NITRATE","59.0 MG/L","45 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KERN",93307,35,14,"MCL, SINGLE SAMPLE","NITRATE-NITRITE","13 MG/L","10 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"KERN",93307,35,14,"MCL, SINGLE SAMPLE","NITRATE-NITRITE","12 MG/L","10 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"KERN",93560,39,10,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"KERN",93560,39,10,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"KERN",93243,500,1,"MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"KERN",93243,500,1,"MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",89
"KERN",93243,500,1,"MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"KERN",93203,20850,3885,"MCL,  AVERAGE","ARSENIC",".03200000 MG/L","0.010 MG/L","US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT","2012",90
"KERN",93203,20850,3885,"MCL,  AVERAGE","ARSENIC","0.034 MG/L","0.010 MG/L","US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT","2013",91
"KERN",93203,20850,3885,"MCL,  AVERAGE","ARSENIC","0.030 MG/L","0.010 MG/L","US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT","2015",89
"KERN",93203,20850,3885,"MCL,  AVERAGE","ARSENIC","0.031 MG/L","0.010 MG/L","US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT","2016",91
"KERN",93203,20850,3885,"MCL,  AVERAGE","ARSENIC","0.044 MG/L","0.010 MG/L","US EPA FEDERAL ADMINSTRATIVE ORDER ON CONSENT","2018",89
"KERN",93215,56623,9544,"MCL,  AVERAGE","ARSENIC","0.032 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"KERN",93241,19057,3300,"MCL,  AVERAGE","ARSENIC",".01050000 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2012",90
"KERN",93241,19057,3300,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"KERN",93241,19057,3300,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2013",91
"KERN",93241,19057,3300,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KERN",93241,19057,3300,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"KERN",93250,15105,2804,"MCL,  AVERAGE","ARSENIC",".01300000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",90
"KERN",93250,15105,2804,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2013",89
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC",".02000000 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"KERN",93528,450,249,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"KERN",93225,1058,371,"MCL, SINGLE SAMPLE","NITRATE","14 MG/L","10 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"KERN",93307,10131,3064,"MCL,  AVERAGE","ARSENIC",".01130000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"KERN",93307,10131,3064,"MCL,  AVERAGE","ARSENIC","0.0115 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"KERN",93307,10131,3064,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"KERN",93307,10131,3064,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2014",90
"KERN",93307,10131,3064,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"KERN",93307,10131,3064,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"KERN",93307,10131,3064,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",89
"KERN",93243,1468,299,"MCL,  AVERAGE","COMBINED URANIUM","21 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"KERN",93243,1468,299,"MCL,  AVERAGE","COMBINED URANIUM","22.5 PCI/L","20.0 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"KERN",93523,600,228,"MCL,  AVERAGE","ARSENIC",".02500000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"KERN",93523,600,228,"MCL,  AVERAGE","ARSENIC","0.029 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"KERN",93523,600,228,"MCL,  AVERAGE","ARSENIC","0.039 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"KERN",93523,600,228,"MCL,  AVERAGE","ARSENIC","0.033 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"KERN",93225,644,273,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"KERN",93225,644,273,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"KINGS",93245,320,3,"MCL,  AVERAGE","ARSENIC",".015 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",62
"KINGS",93245,320,3,"MCL,  AVERAGE","ARSENIC",".012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KINGS",93245,320,3,"MCL,  AVERAGE","ARSENIC",".011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"KINGS",93245,320,3,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"KINGS",93245,320,3,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"KINGS",93239,350,12,"MCL,  AVERAGE","ARSENIC","12 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"KINGS",93239,350,12,"MCL,  AVERAGE","ARSENIC","13 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"KINGS",93239,350,12,"MCL,  AVERAGE","ARSENIC",".013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"KINGS",93239,350,12,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",89
"KINGS",93239,1450,354,"MCL,  AVERAGE","ARSENIC",".01680000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"KINGS",93239,1450,354,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"KINGS",93239,1450,354,"MCL,  AVERAGE","ARSENIC","0.014 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"KINGS",93239,1450,354,"MCL,  AVERAGE","ARSENIC","0.016 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"KINGS",93239,1450,354,"MCL,  AVERAGE","ARSENIC","0.016 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"LOS ANGELES",93535,61,21,"MCL,  AVERAGE","ARSENIC","0.015 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",90
"LOS ANGELES",93535,61,21,"MCL,  AVERAGE","ARSENIC","15 UG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"LOS ANGELES",93536,135,98,"MCL,  AVERAGE","ARSENIC","13.5 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"LOS ANGELES",93536,135,98,"MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"LOS ANGELES",93536,135,98,"MCL,  AVERAGE","ARSENIC","15 UG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"LOS ANGELES",93536,50,34,"MCL,  AVERAGE","ARSENIC","0.046 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",90
"LOS ANGELES",93536,50,34,"MCL,  AVERAGE","ARSENIC","47 UG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"LOS ANGELES",93534,24,24,"MCL,  AVERAGE","ARSENIC","0.019 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"LOS ANGELES",93534,24,24,"MCL,  AVERAGE","ARSENIC","0.021 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2017",1095
"LOS ANGELES",93536,56,20,"MCL,  AVERAGE","ARSENIC","0.050 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"LOS ANGELES",93536,56,20,"MCL,  AVERAGE","ARSENIC","51 UG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"LOS ANGELES",93536,1500,540,"MCL,  AVERAGE","ARSENIC",".01500000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"LOS ANGELES",93536,1500,540,"MCL,  AVERAGE","ARSENIC","0.01644 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"LOS ANGELES",93536,1500,540,"MCL,  AVERAGE","ARSENIC","0.0125 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"LOS ANGELES",93536,1500,540,"MCL,  AVERAGE","ARSENIC","0.01475 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"LOS ANGELES",93536,1500,540,"MCL,  AVERAGE","ARSENIC","0.0135 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",89
"MADERA",93638,1340,15,"MCL,  AVERAGE","ARSENIC",".048 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2015",91
"MADERA",93638,1340,15,"MCL,  AVERAGE","ARSENIC","0.029 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2016",91
"MADERA",93638,1340,15,"MCL, SINGLE SAMPLE","ARSENIC",".084 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"MADERA",93669,180,89,"MCL,  AVERAGE","ARSENIC","0.025 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"MADERA",93669,180,89,"MCL,  AVERAGE","ARSENIC","26.97 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"MADERA",93669,180,89,"MCL, SINGLE SAMPLE","COMBINED URANIUM","180 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",364
"MADERA",93622,250,81,"MCL,  AVERAGE","ARSENIC","0.028 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"MADERA",93622,250,81,"MCL,  AVERAGE","ARSENIC","0.025 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2012",91
"MADERA",93622,250,81,"MCL,  AVERAGE","ARSENIC","0.023 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MADERA",93622,250,81,"MCL,  AVERAGE","ARSENIC","0.020 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"MADERA",93644,110,99,"MCL,  AVERAGE","ARSENIC","0.0202 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MADERA",93644,110,99,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"MADERA",93644,110,99,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"MADERA",93644,110,99,"MCL,  AVERAGE","ARSENIC",".018 MG/L",".010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"MADERA",93644,137,67,"MCL,  AVERAGE","ARSENIC","0.017 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"MADERA",93644,137,67,"MCL,  AVERAGE","ARSENIC","0.026 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",90
"MADERA",93644,137,67,"MCL,  AVERAGE","ARSENIC",".01816 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"MADERA",93604,200,83,"MCL,  AVERAGE","ARSENIC","100 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",89
"MADERA",93604,200,83,"MCL, SINGLE SAMPLE","COMBINED URANIUM","55.5 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",365
"MADERA",93604,200,83,"MCL,  AVERAGE","ARSENIC","0.0113 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"MADERA",93604,200,83,"MCL, SINGLE SAMPLE","COMBINED URANIUM","125 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",365
"MADERA",93604,200,83,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"MADERA",93604,200,83,"MCL,  AVERAGE","ARSENIC","0.01475 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"MADERA",93604,200,83,"MCL, SINGLE SAMPLE","ARSENIC","0.011 MG/L","0.010 MG/L","OTHER INFORMAL ENFORCEMENT ACTION TAKEN","2016",91
"MADERA",93643,150,66,"MCL,  AVERAGE","ARSENIC","0.0118 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MADERA",93643,150,66,"MCL,  AVERAGE","ARSENIC","0.0527 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"MADERA",93643,150,66,"MCL,  AVERAGE","ARSENIC",".0217 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"MADERA",93643,150,66,"MCL,  AVERAGE","ARSENIC","0.021 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"MADERA",93643,264,67,"MCL, SINGLE SAMPLE","ARSENIC","0.013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"MADERA",93643,264,67,"MCL, SINGLE SAMPLE","ARSENIC","0.013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"MADERA",93644,796,1,"MCL, SINGLE SAMPLE","COMBINED URANIUM","34 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"MADERA",93644,796,1,"MCL,  AVERAGE","COMBINED URANIUM","27.50 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",89
"MADERA",93644,796,1,"MCL,  AVERAGE","COMBINED URANIUM","26.75 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MADERA",93644,796,1,"MCL,  AVERAGE","COMBINED URANIUM","36 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"MADERA",93644,796,1,"MCL,  AVERAGE","COMBINED URANIUM","29.8 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",90
"MADERA",93644,796,1,"MCL,  AVERAGE","COMBINED URANIUM","20.5 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",90
"MADERA",93643,60,32,"MCL,  AVERAGE","NITRATE-NITRITE","12 MG/L","10 MG/L","OTHER INFORMAL ENFORCEMENT ACTION TAKEN","2018",89
"MADERA",93643,30,15,"MCL,  AVERAGE","COMBINED URANIUM","70.18 PCI/L","20 PCI/L","OTHER INFORMAL ENFORCEMENT ACTION TAKEN","2013",89
"MADERA",93643,30,15,"MCL,  AVERAGE","COMBINED URANIUM","350 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MADERA",93643,30,15,"MCL, SINGLE SAMPLE","URANIUM-238","67 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",90
"MADERA",93643,30,15,"MCL,  AVERAGE","URANIUM-238","183 PCI/L","20 PCI/L","OTHER INFORMAL ENFORCEMENT ACTION TAKEN","2016",365
"MADERA",93643,350,3,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"MADERA",93643,350,3,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",88
"MADERA",93643,350,3,"MCL,  AVERAGE","ARSENIC","0.0127 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MADERA",93643,350,3,"MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"MADERA",93643,350,3,"MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"MADERA",93644,100,34,"MCL,  AVERAGE","ARSENIC","0.022 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"MADERA",93644,100,34,"MCL, SINGLE SAMPLE","COMBINED URANIUM","37 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"MADERA",93644,100,34,"MCL, SINGLE SAMPLE","ARSENIC","0.015 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",364
"MADERA",93644,100,34,"MCL,  AVERAGE","ARSENIC","0.0175 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"MADERA",93638,50,4,"MCL,  AVERAGE","ARSENIC",".110 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",88
"MADERA",93638,50,4,"MCL, SINGLE SAMPLE","ARSENIC","0.096 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"MADERA",93622,50,20,"MCL, SINGLE SAMPLE","COMBINED URANIUM","28 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",364
"MADERA",93643,40,21,"MCL,  AVERAGE","COMBINED URANIUM","184 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"MADERA",93643,40,21,"MCL,  AVERAGE","COMBINED URANIUM","214.4 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"MADERA",93643,40,21,"MCL,  AVERAGE","COMBINED URANIUM","300 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",364
"MADERA",93644,3818,1043,"MCL,  AVERAGE","ARSENIC","0.031 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2014",89
"MADERA",93644,3818,1043,"MCL,  AVERAGE","ARSENIC","0.031 MG/L","0.010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2014",91
"MADERA",93644,3818,1043,"MCL,  AVERAGE","ARSENIC","0.046 MG/L",".010 MG/L","STATE INTENTIONAL NO ACTION TAKEN","2015",90
"MADERA",93644,3818,1043,"MCL,  AVERAGE","ARSENIC","0.012 UG/L","0.010 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"MADERA",93644,3818,1043,"MCL,  AVERAGE","COMBINED URANIUM","27.0 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",89
"MADERA",93644,3818,1043,"MCL,  AVERAGE","ARSENIC","17 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"MADERA",93644,3818,1043,"MCL,  AVERAGE","COMBINED URANIUM","160 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"MADERA",93644,3818,1043,"MCL,  AVERAGE","ARSENIC","0.013 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"MADERA",93644,3818,1043,"MCL,  AVERAGE","COMBINED URANIUM","184 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",91
"MADERA",93653,307,94,"MCL,  AVERAGE","ARSENIC","0.028 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MADERA",93653,307,94,"MCL,  AVERAGE","ARSENIC","18.75 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"MADERA",93653,307,94,"MCL,  AVERAGE","COMBINED URANIUM","52.8 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"MADERA",93653,307,94,"MCL,  AVERAGE","COMBINED URANIUM","50 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2016",91
"MADERA",93653,307,94,"MCL,  AVERAGE","COMBINED URANIUM","41.3 PCI/L","20 PCI/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",90
"MADERA",93653,307,94,"MCL,  AVERAGE","ARSENIC","19 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"MERCED",95388,190,4,"MCL, SINGLE SAMPLE","NITRATE","12.0 UG/L","10 UG/L","FORMAL ENFORCEMENT ACTION ISSUED","2018",89
"MERCED",95334,14894,3161,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MERCED",95334,14894,3161,"MCL,  AVERAGE","ARSENIC","0.012 MG/L","0.010 MG/L","RETURN TO COMPLIANCE","2014",91
"MERCED",95334,14894,3161,"MCL,  AVERAGE","ARSENIC","0.011 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",90
"MONO",96107,50,29,"MCL,  AVERAGE","ARSENIC","0.041 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",90
"MONO",96107,50,29,"MCL, SINGLE SAMPLE","ARSENIC","0.040 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",91
"MONO",96107,50,29,"MCL,  AVERAGE","ARSENIC","0.070 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2015",91
"MONO",96107,50,29,"MCL,  AVERAGE","ARSENIC","0.047 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2017",91
"MONO",93517,2150,293,"MCL,  AVERAGE","ARSENIC",".02900000 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",90
"MONO",93517,2150,293,"MCL,  AVERAGE","ARSENIC","0.028 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2012",91
"MONO",93517,2150,293,"MCL,  AVERAGE","ARSENIC","0.026 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2013",89
"MONO",93517,2150,293,"MCL,  AVERAGE","ARSENIC","0.036 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2013",91
"MONO",93517,2150,293,"MCL,  AVERAGE","ARSENIC","0.032 MG/L","0.010 MG/L","FORMAL ENFORCEMENT ACTION ISSUED","2014",89
"MONO",93517,2150,293,"MCL,  AVERAGE","ARSENIC","0.033 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2015",89
"MONO",93517,2150,293,"MCL,  AVERAGE","ARSENIC","0.043 MG/L",NA,"FORMAL ENFORCEMENT ACTION ISSUED","2016",91
